,response
252,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. Recently, a citizen who travelled from Spain reported that the Taliban had taken control of the city.</s>"
253,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. Recently, a citizen who travelled from Spain reported that the Taliban had taken control of the city.</s>"
254,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. Recently, a citizen who travelled from Spain reported that the Taliban had taken control of the city.</s>"
255,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. Recently, a citizen who travelled from Spain reported that the Taliban had taken control of the city.</s>"
256,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. Recently, a citizen who travelled from Spain reported that the Taliban had taken control of the city.</s>"
257,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. Recently, a citizen who travelled from Spain reported that the Taliban had taken control of the city.</s>"
258,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. Recently, a citizen who travelled from Spain reported that the Taliban had taken control of the city.</s>"
259,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. Recently, a citizen who travelled from Spain reported that the Taliban had taken control of the city.</s>"
260,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. Recently, a citizen who travelled from Spain reported that the Taliban had taken control of the city.</s>"
261,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. Recently, a citizen who travelled from Spain reported that the Taliban had taken control of the city.</s>"
262,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2"
263,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
264,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as New South Wales reports a record 6,288 new cases of COVID-19 in the past 24 hours.</s>"
265,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as New South Wales reports a record 6,288 new cases of COVID-19 in the past 24 hours.</s>"
266,"The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. On [RM] [ADD] <Event cancellations> -- New South Wales reports a record 6,288 new cases of COVID-19 in the past 24 hours.</s>"
267,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
268,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
269,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
270,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
271,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
272,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
273,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2"
274,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
275,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
276,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
277,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
278,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
279,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
280,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
281,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
282,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
283,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
284,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
285,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
286,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
287,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
288,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
289,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
290,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
291,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
292,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
293,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
294,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
295,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
296,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
297,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
298,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
299,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
300,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
301,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
302,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
303,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
304,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
305,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
306,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
307,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
308,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
309,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
310,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
311,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
312,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
313,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
314,"The Taliban has captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. This comes as Travis and Greg McMichael were sentenced to life without the possibility of parole, while William Bryan was sentenced to life with the possibility of parole.</s>"
315,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
316,"The Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. Recently, talks between NATO and Russia over Ukraine hit a breaking point as Poland warns of possible war.</s>"
317,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
318,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
319,"The Taliban captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. Later, he was shot and killed by police.</s>"
320,"The Taliban captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2001 invasion. Later, he was shot and killed by police.</s>"
321,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
322,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
323,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2"
324,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2"
325,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
326,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
327,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2"
328,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
329,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
330,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2"
331,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
332,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
333,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2"
334,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
335,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2"
336,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2"
337,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captured Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the 2"
338,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. [Background] -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
339,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
340,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
341,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
342,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
343,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
344,"According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban government denies that the firing came from within Afghan territory.</s>"
345,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
346,"During the Afghan Civil War (1996–2001), resistance to the Taliban was strongest in northern Afghanistan, the base of the Northern Alliance. According to the Afghanistan Analysts Network, the Taliban's concentration of its forces in the north may be an attempt to forestall the creation of a second Northern Alliance after the withdrawal of U.S. forces. <Background> -- The Taliban captures Zaranj, the provincial capital of Nimruz Province, making it the first major capture of a provincial city by the group since the"
