,document
303,"Days after Arbery was fatally shot, the chief of police – who had been brought in to clean up a police force described by the county manager in 2019 as poorly trained and characterized by a ""culture of cronyism"" – was indicted on charges arising from an alleged cover-up of a sexual relationship between an officer and an informant. [ADD] <Federal prosecution of the McMichaels and Bryan> -- The three defendants convicted in the murder of Ahmaud Arbery are sentenced to life in prison. Travis and Greg McMichael are sentenced to life without the possibility of parole, while William Bryan is sentenced to life with the possibility of parole. 
"
304,"Both the McMichaels and Bryan face mandatory sentences of life imprisonment. Although the legislation initially stalled in the General Assembly, after the legislature returned following the COVID-19 recess, the House passed the legislation 152–3. The Senate then passed the legislation as Senate Bill 509, which Governor Kemp signed. The legislation allowed a November 3, 2020 binding referendum such that the police department would be abolished if a majority of Glynn County voters agreed. Nevertheless, the referendum was ruled unconstitutional by a superior court judge on September 11, 2020, so it did not appear on the November 3 ballot. [ADD] <Federal prosecution of the McMichaels and Bryan> -- The three defendants convicted in the murder of Ahmaud Arbery are sentenced to life in prison. Travis and Greg McMichael are sentenced to life without the possibility of parole, while William Bryan is sentenced to life with the possibility of parole. 
"
305,"Attorneys for the defendants intend to appeal. A 2015 investigation by WSB-TV revealed that Johnson had agreed to withhold a draft murder indictment from the grand jury and had ""allowed the officers\' department to present a factually inaccurate animation they created showing the car escaping through a gap and running over the officers."" Previous versions of the legislation had passed the state House but failed to pass the state Senate. Arbery's murder was a catalyst for passage of the bill; at the time Georgia was one of just four states without any hate-crimes legislation, as Georgia Supreme Court struck down a previous hate crimes law in 2004. The law requires a higher sentence for defendants convicted of targeting a victim due to ""actual or perceived race, color, religion, national origin, sex, sexual orientation, gender, mental disability, or physical disability."" [RM] <Aftermath - Citizen's arrest law repealed and replaced> -- The three defendants convicted in the murder of Ahmaud Arbery are sentenced to life in prison. Travis and Greg McMichael are sentenced to life without the possibility of parole, while William Bryan is sentenced to life with the possibility of parole. 
"
306,"On [ADD] <Aftermath - Indictment of former Brunswick district attorney> -- The three defendants convicted in the murder of Ahmaud Arbery are sentenced to life in prison. Travis and Greg McMichael are sentenced to life without the possibility of parole, while William Bryan is sentenced to life with the possibility of parole. 
"
307,"Jury selection for the hate crime trial in federal court will begin on February 7, 2022. Georgia's citizen's arrest law had been textually very broad in scope, dating back to the Civil War era. [ADD] <Aftermath - Federal review of case> -- The three defendants convicted in the murder of Ahmaud Arbery are sentenced to life in prison. Travis and Greg McMichael are sentenced to life without the possibility of parole, while William Bryan is sentenced to life with the possibility of parole. 
"
308,"In On March 4, 2021 the proposed changes were passed out of legislative committee in the Georgia House of Representatives by a unanimous vote. The bill – House Bill 479 – received widespread and bipartisan support. The bill to repeal the citizen's arrest law passed the legislature and was signed by Governor Kemp on May 10, 2021. [ADD] <Aftermath - Federal review of case> -- The three defendants convicted in the murder of Ahmaud Arbery are sentenced to life in prison. Travis and Greg McMichael are sentenced to life without the possibility of parole, while William Bryan is sentenced to life with the possibility of parole. 
"
309,"On He also said he had no direct evidence Arbery had stolen anything in the neighborhood. [RM] <Initial reactions - Involved parties and their families> -- The three defendants convicted in the murder of Ahmaud Arbery are sentenced to life in prison. Travis and Greg McMichael are sentenced to life without the possibility of parole, while William Bryan is sentenced to life with the possibility of parole. 
"
310,"A lawyer for William Bryan Jr., the man who recorded the shooting using cell phone video, said his client had done nothing wrong, had fully cooperated in the investigation, and ""is not now, and never has been, a \'vigilante\'."" [ADD] <Aftermath - Reporting on prior allegations of misconduct by local authorities> The attorney also described Bryan as ""a mechanic with a high-school education"" who was simply a witness to the shooting. They said that because Bryan had participated in chasing Arbery and had ""corralled"" him, Bryan participated in the murder. the video went public, Georgia Attorney General Chris Carr said, ""I expect justice to be carried out as swiftly as possible."" Governor Brian Kemp said on May 7 that ""Georgians deserve answers"" about the incident. Two Glynn County Commissioners, Peter Murphy and Allen Booker, called for a federal probe. After viewing the video, Georgia U.S. Representative Doug Collins and U.S. Senator Kelly Loeffler said it was ""disturbing"" and called for a full investigation and answers. It's a very sad thing."" Then-presumptive 2020 Democratic presidential nominee Joe Biden, said that ""the video is clear: Ahmaud Arbery was killed in cold blood."" Biden offered condolences and called for ""a swift, full, and transparent investigation into his murder."" Biden also described the shooting as a lynching. [ADD] <Aftermath - Citizen's arrest law repealed and replaced> -- The three defendants convicted in the murder of Ahmaud Arbery are sentenced to life in prison. Travis and Greg McMichael are sentenced to life without the possibility of parole, while William Bryan is sentenced to life with the possibility of parole. 
"
311,"Arbery's murder also prompted re-examinations of the way prosecutions of shootings were handled by the Brunswick Judicial Circuit District Attorney's Office. The local Brunswick NAACP chapter also called for the resignation of the Glynn County police chief. The Southern Poverty Law Center called for a federal investigation into the incident, citing their belief Arbery's murder was racially motivated. [ADD] <Aftermath - Citizen's arrest law repealed and replaced> -- The three defendants convicted in the murder of Ahmaud Arbery are sentenced to life in prison. Travis and Greg McMichael are sentenced to life without the possibility of parole, while William Bryan is sentenced to life with the possibility of parole. 
"
312,"Many clergy and celebrities have voiced support for review of the case, and concern about the violence. Russell D. Moore, head of the Southern Baptist Convention's Ethics and Religious Liberty Commission, said, ""under any Christian vision of justice, there is no situation in which the mob murder of a person can be morally right, nor grounds for a person to be chased down and shot by private citizens."" LeBron James expressed outrage on Twitter, and offered ""prayers and blessings"". [RM] <Initial reactions - Civil rights groups, commentators, and the public> -- The three defendants convicted in the murder of Ahmaud Arbery are sentenced to life in prison. Travis and Greg McMichael are sentenced to life without the possibility of parole, while William Bryan is sentenced to life with the possibility of parole. 
"
313,"On social media, far-right and neo-Nazi groups spread falsehoods about Arbery; their white-nationalist supporters attacked President Trump for his sympathetic comments regarding Arbery. [ADD] <Initial reactions - Involved parties and their families> -- The three defendants convicted in the murder of Ahmaud Arbery are sentenced to life in prison. Travis and Greg McMichael are sentenced to life without the possibility of parole, while William Bryan is sentenced to life with the possibility of parole. 
"
314,"On According to an analyst from the Middle East Media Research Institute, such groups claimed Arbery was wielding a hammer and wearing Timberland boots when he was shot dead; Arbery was wearing running shoes. They also spread racist remarks about Arbery, and claimed that the McMichaels were victims. Far-right groups said the McMichaels\' arrests reflected a bias against whites. [RM] Crump added, ""While today is not one for celebration, it is one for reflection."" [RM] Derrick Johnson, President and CEO of the NAACP, called the verdict ""long overdue."" [ADD] <Initial reactions - Involved parties and their families> -- The three defendants convicted in the murder of Ahmaud Arbery are sentenced to life in prison. Travis and Greg McMichael are sentenced to life without the possibility of parole, while William Bryan is sentenced to life with the possibility of parole. 
"
315,"On 9 December, Russia accused Ukraine of moving heavy artillery towards the front line where separatists are fighting with Ukrainian forces. Chief of the Russian General Staff, Valery Gerasimov, stated that [NATO's] ""Deliveries of helicopters, unmanned aerial vehicles and aeroplanes to Ukraine are pushing the Ukrainian authorities to take sharp and dangerous steps. Any provocations of the Ukrainian authorities by way of a forced settlement of the problems of Donbass will be suppressed."" On 31 December 2021, after a phone call between US President Biden and Russian president Putin, Putin declared that if the US sanctioned them it would be ""a fatal mistake."" [ADD] <Military escalation> -- Ukrainian authorities arrest an alleged Russian intelligence agent who they claim attempted to recruit others to launch attacks in the port city of Odessa. 
"
316,"nan -- Talks between NATO and Russia over Ukraine hit a breaking point as Poland warns of possible war. 
"
317,"The Swedish contribution to Barkhane via Task Force Takuba arrived in Mali during February 2021. The Swedish troop contribution to Task Force Takuba is a 150-man strong helicopter-borne rapid-response force, centered around an SOG task unit and supported by three UH60M helicopters and one C130, ready to be deployed if something unforeseen occurs. The task force will also be used for other operations, as for example to support other countries that exercise and conduct operations with the Malian army. [ADD] <Operations - 2014–2015: Beginning of Barkhane and insurgents regroup> -- Sweden announces that it will withdraw its troops from a French-led special forces mission in Mali later this year, in response to Mali's ruling military junta inviting private Russian military contractors to fight Islamist rebels. The deployment was originally expected to end in 2024. 
"
318,"Public opinion in Australia of an unvaccinated athlete being permitted entry while many Australians remain stranded overseas due to the pandemic, in order to participate in an event that spectators cannot attend unless fully vaccinated, has been overwhelmingly negative. [ADD] <COVID-19 vaccination and visa controversies> -- The Minister for Immigration and Citizenship, Alex Hawke, invokes his ministerial powers under the Migration Act 1958 to cancel Novak Djokovic's visa on ""health and good order grounds"". 
"
319,"On January 15, 2022, an armed gunman took multiple people hostage at Congregation Beth Israel, a Jewish synagogue in Colleyville, Texas, United States. [RM] After more than 12 hours, the four hostages were freed. [ADD] After more than 12 hours, the four hostages were freed and the attacker is dead. <Summary> -- An armed man claiming to be the brother of Pakistani Al-Qaeda suspect Aafia Siddiqui holds congregants hostage at Congregation Beth Israel Synagogue in Colleyville, Texas, United States. He is later shot and killed by police.  
"
320,"The assailant had Rabbi Cytron-Walker call a New York City–based rabbi to pass along his demand that Aafia Siddiqui be released. [ADD] Congresswoman Beth Van Duyne told reporters with the Fort Worth Star-Telegram that the attacker is confirmed to be dead. -- An armed man claiming to be the brother of Pakistani Al-Qaeda suspect Aafia Siddiqui holds congregants hostage at Congregation Beth Israel Synagogue in Colleyville, Texas, United States. He is later shot and killed by police.  
"
321,"Little information is yet available on the extent of damage and casualties from Tonga due to communication issues. Video footage showing waves hitting coastal areas in Tonga was reported by Sky News. Atata, a small island off the capital city was reportedly submerged and rescue operations are being carried out. There are some reports of residents in Tonga struggling to breathe as a result of the ash. The Tonga government has not confirmed any casualties from the eruption and tsunami. [ADD] <Impact> -- Two people are killed by a small tsunami in Lambayeque, Peru. 
"
322,"The tsunami claimed the lives of two women in Peru when a 2-meter wave struck them at Naylamp beach, Lambayeque. [ADD] The two women were in a truck along with a driver; the husband of one of the woman. [ADD] When the wave struck, the male occupant escaped. [ADD] The bodies of the female victims were taken to a morgue. According to a resident in the Tongan capital, a series of initial smaller explosions were heard. It was followed by a tsunami approximately 15 minutes later. The first wave was said to be the largest. A long white wave was observed out at sea approaching the coast. Three waves reportedly struck the coast. In the wake of the tsunami King Tupou VI was evacuated and traffic jams formed as locals fled to high ground. <Tsunami - Oceania> -- Two people are killed by a small tsunami in Lambayeque, Peru. 
"
323,"The FBI believes that Akram acted alone, and Matthew DeSarno, the special agent in charge of the FBI's Dallas field office, said there was no indication that the man was part of any broader plan. DeSarno also said the investigation into the incident will have ""global"" reach, and he confirmed that the FBI Shooting Incident Review Team ""will conduct a thorough, factual, and objective investigation of the events."" A day after the incident, President Joe Biden said Akram was armed with guns, but his claim of being armed with a bomb was not true. [RM] Akram's motive for the hostage-taking was his anger over the U.S. imprisonment of Aafia Siddiqui; a U.S. official said that the hostage situation deteriorated in its final hours in part because Akram ""became increasingly skeptical that the FBI would accede to his demands to free Siddiqui."" [ADD] Akram's motive for the hostage-taking was his anger over the U.S. imprisonment of Siddiqui; a U.S. official said that the hostage situation deteriorated in its final hours in part because Akram ""became increasingly skeptical that the FBI would accede to his demands to free Siddiqui."" <Investigation> -- Two men are arrested in Manchester and Birmingham, England, as part of an investigation into the standoff that occurred at a synagogue in Colleyville, Texas, United States, on Saturday. 
"
324,"The day after the incident, Akram's two teenage sons were apprehended in south Manchester, North West England, by officers from Counter Terror Policing North West. [ADD] On January 20, two men were arrested in Manchester and Birmingham, West Midlands, as part of the investigation into the Colleyville incident. <Reactions> -- Two men are arrested in Manchester and Birmingham, England, as part of an investigation into the standoff that occurred at a synagogue in Colleyville, Texas, United States, on Saturday. 
"
325,"SDF forces also announced that they had managed to track down and arrest 89 of the prisoners that had escaped the prison. It was also reported that the electricity to several parts of Al-Hasakah city had been cut off due to the clashes. [ADD] During the clashes, it was reported that U.S fighter jets had conducted 2 airstrikes on Islamic State held buildings in the city. -- ISIL militants attack Al-Sina'a prison in the city of Al-Hasakah, freeing prisoners and leading to clashes that kill 67 people. 
"
326,"Singapore started the rolling out of booster shots for senior citizens above 60 years of age from 14 September 2021. Subsequently, from 4 October, it will start giving booster shots for the eligible population above 50 years of age, followed by individuals above 30 years of age from 9 October. The eligible population should have their second dose taken before 6 months. From 24 November, eligible population who completed their second dose before 5 months can get booster shots for all age groups. On 10 December, the use of booster shots is extended to individuals above 18 years of age starting from 14 December. [ADD] From 14 March 2022, children aged 12 to 17 will need to get a booster shot within 270 days of receiving their second dose of the COVID-19 vaccine. The issuance of this special sticker will be limited to travelers who have been vaccinated with a COVID-19 vaccine under the Emergency Use Listing (EUL) by the World Health Organization (WHO) and the presentation of a valid English-language vaccination certificate. <Background - Booster shots> -- The Singaporean Ministry of Health announces the extension of COVID-19 vaccine booster doses to people between the ages of 12 and 17 beginning on March 14. 
"
327,"After the hostages fled the building, the FBI Hostage Rescue Team was seen surrounding another part of the synagogue. At around 9:21 p.m., the FBI Hostage Rescue used a stun grenade to attempt to disorient Akram. [RM] Electricity was cut to the synagogue, and agents breached the building. Within seconds, Akram was fatally shot by FBI agents. [ADD] Electricity was cut to the synagogue, and agents breached the building at around 9:22 p.m. Within seconds, the agents shot Akram multiple times, killing him. After the synagogue was secured, the building was swept by the FBI's Evidence Response Team and bomb technicians. No explosives aside from police entry tools were found at the scene. <Events - Resolution> -- The Federal Bureau of Investigation announces it is officially investigating the standoff at a synagogue in Colleyville, Texas, U.S., on Saturday as a ""federal hate crime"" and an ""act of terrorism"". 
"
328,"On 8 January 2022 Romania reintroduces mandatory face mask wearing in outdoor and indoor public spaces, reduces the operating hours and capacity of bars, restaurants, cinemas, gyms, and sporting events, and also reduces the quarantine period, amid concern that the next wave of COVID-19 could overwhelm the health system. [ADD] On 21 January Romania reports a record 19,649 new cases of COVID-19 and the next day has exceeded 2 million COVID-19 cases since the beginning of the pandemic. The first person who took the vaccine was a nurse from the Matei Bals Institute for Infectious Diseases in Bucharest. She was soon followed by several hundred doctors and nurses from COVID-19 dedicated hospitals throughout the country. Romania has contracted about 10 million vaccines made by BioNTech-Pfizer. Vaccination is free of charge and non-mandatory. By 16 December 2021, Romania had the second lowest vaccination rate in the European Union, almost 47%. <Timeline - 9–25 March 2021: Third wave of cases> -- Romania surpasses two million cases of COVID-19. 
"
329,"nan -- Romania surpasses two million cases of COVID-19. 
"
330,"Pakistani law enforcement agencies say that one militant was killed and several other militants were injured when the militants attacked the security post. Three militants responsible for the attack were also arrested by the law enforcement agencies during a search operation in the vicinity of the security post. [RM] No group has taken responsibility for the attack on security post. [SUB] No group has taken responsibility for the attack on security post initially. [RM] Gohram Baloch, the spokesperson of the banned Balochistan Liberation Front (BLF) has claimed responsibility for the attack. [ADD] After several times,Gohram Baloch, the spokesperson of the banned Balochistan Liberation Front (BLF) has claimed responsibility for the attack. <Summary> -- Ten Pakistan Army soldiers are killed in an insurgent attack in Kech District, Balochistan, Pakistan. The separatist Baluch Liberation Front claims responsibility for the attack. The army says that it has killed one of the attackers and arrested three others in a clearance operation. 
"
331,"In the morning of 29 January, the seventh ballot was inconclusive, as Lega and FI abstained, the centre-left voted blank, and FdI supported Nordio. Mattarella was again the most voted candidate with 387 votes, followed by Nordio with 64, and Di Matteo with 40. During the seventh ballot, after the fall of all other possible candidacies, the re-election of incumbent president Mattarella became a serious alternative. Letta, who had already proposed his re-election a few weeks before, asked the other leaders to follow ""the Parliament's wisdom"", referring to the massive support that Mattarella had received in the previous ballots; Salvini, accusing the centre-left of having rejected all his proposals, opened to a new term for the incumbent president. Salvini's proposal for a new term met the criticism of Meloni, who stated in a tweet that she did not ""want to believe it"". Casini, who was widely considered one of the most reliable candidates, asked to rule out his name and vote for Mattarella. Prime Minister Draghi, another probable candidate, asked Mattarella to accept a second term for ""the good and the stability of the country"". In the early afternoon, the delegations of parliamentary groups of PD, M5S, Lega, FI, IV, CI, LeU, and For the Autonomies went to the Quirinal Palace asking Mattarella to concede his availability to a second term. Mattarella agreed to serve a second term. [ADD] <History - Race for the presidency (2021–2022)> -- After seven inconclusive ballots, Sergio Mattarella is elected for a second term as President on the eighth ballot. 
"
332,"In the eight ballot, on January 29's evening, Sergio Mattarella was re-elected president of Italy with 759 votes, becoming the most-voted president after Sandro Pertini in 1978. [ADD] In ballot, Mattarella was followed by Nordio with 90 votes, and Di Matteo with 37. The election was held in the Palazzo Montecitorio, home of the Chamber of Deputies, with the capacity of the assembly room expanded for the purpose. As there is no official candidacy process, representatives were free to vote for any person who meets the requirements. The first three ballots require a two-thirds majority of the 1,009 voters to elect a president, or 673 votes. Starting from the fourth ballot, an absolute majority is required for candidates to be elected, or 505 votes. The presidential mandate lasts seven years. <Procedure> -- After seven inconclusive ballots, Sergio Mattarella is elected for a second term as President on the eighth ballot. 
"
333,"nan -- After seven inconclusive ballots, Sergio Mattarella is elected for a second term as President on the eighth ballot. 
"
334,"On 28 January, it was reported that the Metropolitan Police had asked Gray to ""keep key details out of her report"", of events that they were investigating, to avoid any prejudice to their investigation. As a result, there was uncertainty over when, or even whether, Gray's report would be published. [ADD] <Investigations - Cabinet Office inquiry> -- The initial findings of a report by senior civil servant Sue Gray into allegations of rule breaking at 10 Downing Street during COVID-19 lockdowns are published. 
"
335,"A coup d\'état was attempted in Guinea-Bissau on 1 February 2022. [RM] At least one person is said to have been killed. [ADD] President Umaro Sissoco Embalo said that ""many"" members of the security forces had been killed in a ""failed attack against democracy."" The Portugal’s foreign affairs minister, Augusto Santos Silva, said that the president of Guinea-Bissau was at his residence but it was unclear if an attack on the government of Guinea-Bissau was over. <Summary> -- A coup attempt is made in Guinea-Bissau. President Umaro Sissoco Embalo says that ""many"" members of the security forces have been killed in a ""failed attack against democracy"" as both the African Union and ECOWAS condemn the attempted coup. 
"
336,"nan -- A coup attempt is made in Guinea-Bissau. President Umaro Sissoco Embalo says that ""many"" members of the security forces have been killed in a ""failed attack against democracy"" as both the African Union and ECOWAS condemn the attempted coup. 
"
337,"On 2 February 2022, over 60 civilians were killed in a massacre in Djugu territory, Ituri Province, Democratic Republic of the Congo. [RM] <Summary> -- Over 60 people are killed by CODECO militiamen during a mass stabbing at a camp for internally displaced people in Djugu, Ituri, Democratic Republic of the Congo. 
"
338,"During the early hours of 2 February 2022, CODECO insurgents carried out a massacre of over 60 residents of Plaine Savo. It is a camp for internally displaced people in Ituri Province in the northeast of the Democratic Republic of the Congo in which around 4,000 people live. [ADD] <Summary> -- Over 60 people are killed by CODECO militiamen during a mass stabbing at a camp for internally displaced people in Djugu, Ituri, Democratic Republic of the Congo. 
"
339,"Team president Jason Wright announced on July 12, 2021 that the new name will not include any ties to Native Americans, including the name ""Warriors""; research having shown that anything other than a clean break with the past is a slippery slope. While the team expects fans to continue to wear their jerseys with the former name and logo, Native American inspired headdresses or face paint will not be allowed in the stadium. [RM] The new name will be announced on February 2, 2022 (2/2/22) the final eight candidates being Armada, Presidents, Brigade, Red Hogs, Commanders, RedWolves, Defenders and the current ""Football Team"". <Name change> -- It is announced that, starting in the 2022 NFL season, the Washington Football Team will be renamed as the Washington Commanders in order to replace the Redskins name, considered a racial slur, which was retired in mid-2020 following the nationwide George Floyd protests.  
"
340,"In 1933, the football team that shared both the name and playing field with the Boston Braves baseball team moved to Fenway Park, already home to the Boston Red Sox. Co-owner George Preston Marshall changed the name to the Redskins, more likely to avoid confusion while retaining the Native American imagery of the team than to honor coach William Henry ""Lone Star"" Dietz, whose identity as a Native American was debated. [ADD] <Name change> -- It is announced that, starting in the 2022 NFL season, the Washington Football Team will be renamed as the Washington Commanders in order to replace the Redskins name, considered a racial slur, which was retired in mid-2020 following the nationwide George Floyd protests.  
"
341,"The new name, Washington Commanders, was selected on February 2, 2022. [ADD] Amanda Blackhorse responded that the change is an empty gesture, the team's owner having made no substantial effort to repair the effects the decades of insults, nor advocated that other teams with offensive mascots also change. A redesigned logo introduced in 1972 was proposed by Walter Wetzel, a former Blackfeet tribal chairman and past president of the National Congress of American Indians, and was modeled after the likeness on the Buffalo nickel. Members of the Blackfeet tribe express a range of opinions, from support to indifference to strong opposition to the Redskins name based upon their personal experiences. <History> -- It is announced that, starting in the 2022 NFL season, the Washington Football Team will be renamed as the Washington Commanders in order to replace the Redskins name, considered a racial slur, which was retired in mid-2020 following the nationwide George Floyd protests.  
"
342,"In July 2020, amidst the removal of many names and images as part of the George Floyd protests, a group of investors worth $620 billion wrote letters to major sponsors Nike, FedEx and PepsiCo encouraging pressure on the Redskins to change their name. FedEx called on the team to change its name on July 2, 2020. The same day, Nike removed Redskins apparel from its website. On July 3, the league and the franchise announced that it was ""undergoing a thorough review of the team name."" On July 7, it was acknowledged that the Redskins were not in contact with a group of Native Americans who petitioned the NFL to force a name change and that Redskins head coach Ron Rivera also stated the team wanted to continue ""honoring and supporting Native Americans and our Military."" On July 13, 2020, the team made an official statement that their review would result in the retirement of the Redskins name and logo. On July 23, 2020 the team announced that they will be called the Washington Football Team with a block ""W"" logo for the 2020 season. [RM] Team president Jason Wright announced in July 2021 that the new name will not include any ties to Native Americans, including the name ""Warriors""; research having shown that anything other than a clean break with the past is a slippery slope. A new name will be announced on February 2, 2022. [ADD] The new name, Washington Commanders, was selected on February 2, 2022. Amanda Blackhorse responded that the change is an empty gesture, the team's owner having made no substantial effort to repair the effects the decades of insults, nor advocated that other teams with offensive mascots also change. [RM] For the 2021 season, while the team expects fans to continue to wear their jerseys with the former name and logo, Native American inspired headdresses or face paint will not be allowed in the stadium. It was quickly removed with the owner's apologies. A rubber severed ""Indian"" head impaled on a knife has been used by a sports fan in Philadelphia to taunt rival teams with Native American mascots. There have been a number of incidents of rival high school teams displaying banners or signs referencing the Trail of Tears, which have been criticized for both insensitivity and ignorance of history. Although the Central Michigan Chippewas have the support of the Saginaw Chippewa Tribal Nation of Michigan, a student at rival Western Michigan University designed a T-shirt showing a Native American behind bars with the legend ""Caught a Chippewa about a week ago"". It was quickly condemned by both university presidents, who agreed that anyone wearing the shirt at a game would be ejected. In spite of the University of North Dakota changing their nickname from the Fighting Sioux to the Fighting Hawks, students at rival North Dakota State University (NDSU) continue to chant ""Sioux suck shit"" whenever their football team makes a first down. The NDSU president, along with the presidents of the student body and faculty senates, have called for an end to the practice, which they describe as hateful, and coming from a misplaced sense of tradition. Some NDSU fans also wear T-shirts with graphics depicting variations on the ""Sioux suck"" theme. <Trends - Cleveland Indians> -- It is announced that, starting in the 2022 NFL season, the Washington Football Team will be renamed as the Washington Commanders in order to replace the Redskins name, considered a racial slur, which was retired in mid-2020 following the nationwide George Floyd protests.  
"
343,"Whaling in Iceland began with spear-drift hunting as early as the 12th century, and continued in a vestigial form until the late 19th century, when other countries introduced modern commercial practices. Today, Iceland is one of a handful of countries that formally object[clarification needed] to an ongoing moratorium established by the International Whaling Commission in 1986, and that still maintain a whaling fleet. One company remains concentrated on hunting fin whales, largely for export to Japan, while the only other one previously hunted minke whales for domestic consumption until 2020, as the meat was popular with tourists. In 2018, Icelandic whalers were accused of slaughtering a blue whale. Whaling has been temporarily paused in Iceland since 2019 as coronavirus restrictions, competition from subsidized Japanese whaling, and increasing domestic whale watching tourism have hampered the industry. It is uncertain if commercial whaling will resume in 2022. [ADD] In 2022, Iceland announced that they would halt commercial whaling by 2024. [ADD] https://www.aljazeera.com/news/2022/2/4/iceland-to-end-whaling-as-demand-dwindles -- Iceland announces it will end the practice of whaling by 2024, citing the decreasing price of whale meat. 
"
344,"24 December 2021 - A clash took place between Taliban forces and the Frontier Corps at several points along the Afghanistan-Pakistan border. According to Afghan villagers and tribal elders, Pakistani forces started shelling parts of Kunar province in response to firing by militants associated with Tehrik-i-Taliban Pakistan (TTP) on Pakistani soldiers deployed along the border. Soon after, the Afghan Taliban also started firing artillery targeting areas on Pakistan side of the border from Sarkano and Dangam districts of Kunar province. According to Afghan media outlets, one Afghan civilian was injured in the shelling and the areas affected by the Pakistani forces shelling were Dangam, Shaltan, Sarkano and Marawar districts of Kunar province. The shelling had also caused financial losses to the local residents, according to the Afghan media. No loss of life was reported on the Pakistan's side. [ADD] <Islamic Republic rule skirmishes> -- Five Pakistani troops are killed after ""militants from inside Afghanistan"" opened fire on a border post in Kurram District, Khyber Pakhtunkhwa. The army says that it retaliated, causing heavy casualties among the militants. The Taliban government denies that the firing came from within Afghan territory. 
"
345,"On 27 January, France confirmed that from 15 to 23 January 2022, more than sixty recorded jihadists had been ""neutralized"" in four separate incidents by Burkinabé soldiers working together with French units. [ADD] <Timeline - 2022> -- Four civilians are killed during a battle between French troops and Ansar ul Islam in Burkina Faso. Ten militants are killed in the clash, which involved support from an attack helicopter. 
"
346,"Ten member of Ansarul Islam died during a battle with French forces on February 10 near Ouahigouya. [ADD] Four civilians died in the crossfire. [ADD] French authorities expressed regret for the civilian casualties, which they assured was accidental. In October 2019, 14 men had their turbans ripped off by government forces, then forced into a truck and executed. Fulanis have also been subject to violence by pro-government civilians, such as during the 2019 Yirgou massacre, in which hundreds of civilians were murdered by ethnic Mossis. <Humanitarian situation> -- Four civilians are killed during a battle between French troops and Ansar ul Islam in Burkina Faso. Ten militants are killed in the clash, which involved support from an attack helicopter. 
"
347,"On January 31, 2022, The UAE military said Monday that Iran-backed Houthi rebels in Yemen fired a ballistic missile at Abu Dhabi, just hours after Israel's president began a historic visit to the Persian Gulf country. The foiled strike was the third this month targeting Abu Dhabi, the Emirati capital. [ADD] <Timeline - 2022> -- An airstrike on Abha International Airport in the Saudi Arabian city of Abha injures twelve people. The attack was done by members of the Houthi movement. 
"
348,"Ten members of Ansarul Islam died during a battle with French forces on February 10 near Ouahigouya in return for the killing of five officers in the previous year. Four civilians died in the crossfire. French authorities expressed regret for the civilian casualties, which they assured was accidental. [ADD] <Timeline - 2022> -- French forces launch an airstrike on a jihadist camp in southern Burkina Faso, near the border with Benin, killing 40 combatants. The attack was a retaliation for the massacre of nine people (including a Frenchman) in Benin's W National Park earlier that week. 
"
349,"On On February 12, French forces retaliated by launching a major airstrike on an Islamist camp in Burkina Faso, killing forty rebels. [ADD] February 8-9, insurgents attacked the W National Park in Benin, killing nine people. In October 2019, 14 men had their turbans ripped off by government forces, then forced into a truck and executed. Fulanis have also been subject to violence by pro-government civilians, such as during the 2019 Yirgou massacre, in which hundreds of civilians were murdered by ethnic Mossis. <Humanitarian situation> -- French forces launch an airstrike on a jihadist camp in southern Burkina Faso, near the border with Benin, killing 40 combatants. The attack was a retaliation for the massacre of nine people (including a Frenchman) in Benin's W National Park earlier that week. 
"
350,"On 5 February 2021, from two to five thousand people in Kharkiv marched through the city with banners stating ""Kharkiv is Ukraine"" and ""stop Russian aggression"". Participants stated that there was anger at the prospect of a Russian invasion, rather than panic as in 2014 when the War in Donbas started. Interviewees judged that the Ukrainian army and citizens would make a Russian invasion difficult, with the Russian forces ""suffer[ing] intolerable losses"", and that Kharkhiv residents ""[knew] how to survive"" after year of living under the threat of invasion. [RM] [ADD] <Civil society - Russian intellectuals> -- Thousands of people protest against Russian military aggression in Kyiv, chanting ""Glory to Ukraine"" and ""Ukrainians will resist"".  
"
351,"In January 2022, the Prime Minister of Canada, Justin Trudeau stated that Canada would provide Ukraine with a CDN$120 million loan, but will not transfer military equipment. [ADD] They chanted ""Glory to Ukraine"" and carried Ukrainian flags and banners stating ""Ukrainians will resist"" and ""Invaders must die"". -- Thousands of people protest against Russian military aggression in Kyiv, chanting ""Glory to Ukraine"" and ""Ukrainians will resist"".  
"
352,"On 10 February, six Russian warships capable of landing tanks and troops ashore, assigned to Russia's Baltic and Northern Fleets, arrived at the Sevastopol Naval Base in Crimea. On the same day, Russia announced naval exercises to be held in the Black Sea. Meanwhile, Ukraine ""strongly protested"" against ""the decision of the Russian Federation to block parts of the Black Sea and the Sea of Azov and the Kerch Strait under the pretext of holding regular naval exercises"". [ADD] <Background> -- The United States orders the evacuation of its embassy staff in Kyiv. 
"
