,paragraph
276,"[{'summary_text': ""On June 24, 2020, a grand jury indicted each of the three men on charges of malice murder, felony murder, and other crimes. but the Attorney's Office denied that its top officeholders gave such advice. Travis and Greg McMichael are sentenced to life without the possibility of parole, while William Bryan is sentenced to""}]"
277,"[{'summary_text': 'The McMichaels and Bryan chased down Arbery while he was jogging in the neighborhood, trapping him between their pickup trucks before fatally shooting him with a shotgun. Police interview transcripts indicate that Gregory began the chase after seeing Arbery running past his house, suspecting that Arbery had committed burglary or theft in Satilla Shores; no evidence has emerged of Arbery doing so. Gregory and Travis McMichael pursued Arbery in a pickup truck. According to police testimony'}]"
278,"[{'summary_text': ""The local authorities\\' handling of the case, whereby the McMichaels were not arrested until 74 days after the murder, after the video went viral, sparked nation-wide criticism and debates on racial profiling in the United States. Numerous religious leaders, politicians, athletes, and other celebrities condemned the incident. Georgia Attorney General Christopher M. Carr formally requested the intervention of the Federal Bureau of Investigation in the case on May 10, 2020, which was granted the following day. In April 2021, a federal grand jury indicted the three men, charging all with a hate crime and attempted kidnapping, while the""}]"
279,"[{'summary_text': ""As Arbery approaches the pickup truck, shouting can be heard. Arbery then crosses from the left side of the road to the right side and runs around the passenger's side. After passing the truck's front, Arbery turns left. [ADD] <Video of the shooting>""}]"
280,"[{'summary_text': 'The three defendants convicted in the murder of Ahmaud Arbery are sentenced to life in prison. Travis and Greg McMichael are sentenced ""without the possibility of parole"" while William Bryan is sentenced to ""with the possibility"" of parole. On [ADD] <Investigation by Glynn County Police - Prior thefts and trespassing incidents reported>'}]"
281,"[{'summary_text': 'Travis and Arbery are seen to grapple over the shotgun. Travis said, ""I\\\'ve never seen this guy before in the neighborhood."" The dispatcher asked whether Travis was OK, and he said ""Yeah, it just startled me."" When I turned around and saw him and backed up, he reached into his pocket and ran into the house. So I don\\\'t know if he\'s armed or not. But he looked like he was acting like'}]"
282,"[{'summary_text': 'Two calls to the Glynn-Brunswick 911 dispatcher were made just before the shooting. In the first, a then-unidentified male caller said another man was in a house that was ""under construction"". The 9-1-1 dispatcher asked if the man was ""breaking into it right now?""'}]"
283,"[{'summary_text': 'The GCPD reached the scene immediately after the fatal shooting. The responding officer\'s report relied almost entirely on an interview with Gregory McMichael, who was described as a witness. He said he recognized the man from a prior incident ""the other night"", when he said he saw the man reach into his pants as if for a weapon. He called to his son Travis and said, ""The guy is running down the street; let\'s go"". Gregory brought a .357 Magnum revolver, while Travis brought a shotgun in their pickup truck. The McMichaels said they pursued the man because he resembled a suspect in a string of local burglaries'}]"
284,"[{'summary_text': 'Glynn County commissioners, citing discussions with Glynn County police, accused Johnson, or her office, of preventing the McMichaels\\\' immediate arrest. Commissioner Allen Booker said: ""The police at the scene went to her, saying they were ready to arrest both of them'}]"
285,"[{'summary_text': 'On May 7, Alan David Tucker, a local criminal defense attorney, said that he had sent the cell phone video to WGIG, and that it had been recorded by William ""Roddie"" Bryan, who was in the second truck following Arbery. Tucker had informally consulted with the suspects in the case, but said he had not been retained to represent anyone involved. Tucker said that ""my purpose was not to exonerate them or convict them."" [RM]'}]"
286,"[{'summary_text': '""The case of the three men who were convicted of murder and attempted murder"" was released on February 24, 2014. The three men were sentenced to life in prison without parole for the murder of two men and the attempted murder of a third man. The third man was convicted of killing a man who was shot dead by a police officer on February 25, 2013. The case was the first in a series of high-profile murders that have occurred in the state of Georgia since 2008.'}]"
287,"[{'summary_text': 'At the June 4, 2020 preliminary hearing, a Glynn County Magistrate Court judge ruled that there was probable cause for the murder charges against all three men. Travis and Greg McMichael are sentenced to life without the possibility of parole, while William Bryan is sentenced to death with no parole. At the hearing, the prosecutor said that the three men ""chased, hunted down and ultimately executed""'}]"
288,"[{'summary_text': 'The alleged use of these racist slurs could affect a federal hate crime trial in 2022. The three defendants convicted in the murder of Ahmaud Arbery are sentenced to life in prison. Travis and Greg McMichael are sentenced ""without the possibility of parole"" while William Bryan is sentenced ""with the possibility"" of parole.'}]"
289,"[{'summary_text': 'On June 24, 2020, a Glynn County grand jury indictment was released against all three defendants, each on nine counts: malice murder, four counts of felony murder, two counts of aggravated assault, false imprisonment and criminal attempt to commit false imprisonment. Travis and Greg McMichael are sentenced to life without the possibility of parole, while William Bryan is sentenced to'}]"
290,"[{'summary_text': 'The trial of the McMichaels and Bryan in the Superior Court before Judge Walmsley began October 18, 2021, with jury selection. The jury selection process was lengthy and proceeded slowly, with the 600 potential jurors (members of the venire) questioned on what they had heard about the case and whether they had formed a belief about the guilt or innocence of the defendant, and many prospective jurors were dismissed. November'}]"
291,"[{'summary_text': 'The three defendants convicted in the murder of Ahmaud Arbery are sentenced to life in prison. Travis and Greg McMichael are sentenced ""without the possibility of parole"" while William Bryan is sentenced to ""with the possibility"" of parole. Opening statements for the state and the McMichaels were made on November 5, 2021.'}]"
292,"[{'summary_text': 'Bob Rubin, the lawyer for Travis McMichael, stated that although ""no crime committed"" in the presence of the McMichaels, ""there was probable cause to believe a felony had been committed"" by Arbery and that he ""was attempting to escape"". Rubin described the Satilla Shores neighbourhood as ""on edge"" due to property crimes, arguing that Travis had a ""duty and responsibility to protect himself and his neighborhood"". Rubin stated that Travis killed Arbery ""in self-defense"", because if Arbery took Travis\\\' gun, either Travis or Gregory would be dead.'}]"
293,"[{'summary_text': 'The three defendants convicted in the murder of Ahmaud Arbery are sentenced to life in prison. The prosecution presented evidence from November 5 to November 16, 2021. Travis and Greg McMichael are sentenced ""without the possibility of parole"" while William Bryan is sentenced to ""with the possibility"" of parole.'}]"
294,"[{'summary_text': 'Gregory McMichael told police that he saw Arbery on ""two or three"" videos showing ""this guy breaking into or being or wandering around into this [under-construction] house ... I don’t think the guy has stolen anything out of there, and if he did it was'}]"
295,"[{'summary_text': 'Kevin Nohilly, a Glynn County police detective who had previously known Gregory McMichael professionally, interviewed Gregory at the police station later in the day of the murder. Kevin said Gregory told him: (1) ""I don\\\'t know.  ""'}]"
296,"[{'summary_text': 'The three defendants convicted in the murder of Ahmaud Arbery are sentenced to life in prison. Jason [ADD] <Trial - Evidence presentation by the defense> -- Travis and Greg McMichael are sentenced ""to life without the possibility of parole,"" while William Bryan is sentenced to ""life with the possibility"" of parole.'}]"
297,"[{'summary_text': 'On November 24, 2021, the jury reached a verdict after 12 hours of deliberation spanning over two days. He was found not guilty of malice murder. <Trial - Verdict> -- The three defendants convicted in the murder of Ahmaud Arbery are sentenced to life in prison. Travis and Greg McMichael are sentenced  to life without the possibility of parole, while William Bryan is sentenced to'}]"
298,"[{'summary_text': 'A jury found Travis McMichael, Gregory McMichael and William Bryan guilty of the murder of Ahmaud Arbery. The jury found the three men guilty of first-degree murder, first- and second-degree attempted murder, and first degree assault. The three men were sentenced to life in prison, with or without the possibility of parole. The ""interference with rights"" charge is a hate crime, claiming ""that the defendants used force'}]"
299,"[{'summary_text': 'Jury selection for the hate crime trial in federal court will begin on February 7, 2022. Travis and Greg McMichael are sentenced to life without the possibility of parole, while William Bryan is sentenced to death with no parole.    ""Ahmaud Arbery"" was found guilty of the murder of Ahmaud ""Bud"" Arbery on November 4, 2013.'}]"
300,"[{'summary_text': 'In May 2020 , Georgia Attorney General Chris Carr said that his office would review how the investigation into Arbery\'s murder ""was handled from the outset"". At Carr\'s request, the GBI investigated whether District Attorney Jackie Johnson or District Attorney George Barnhill\'s actions in connection with the appointment of a conflict prosecutor to investigate the murder of Arbery constituted a crime.'}]"
301,"[{'summary_text': 'The three defendants convicted in the murder of Ahmaud Arbery are sentenced to life in prison. Travis and Greg McMichael are sentenced ""without the possibility of parole"" while William Bryan is sentenced to ""with the possibility"" of parole.    ""Ahmaud"" Arbery was found dead in his home in the early morning hours of July 4, 2009.'}]"
302,"[{'summary_text': 'Following Arbery\'s murder, media investigated the history of the GCPD. The New York Times noted that in preceding years, the department had ""been accused of covering up allegations of misconduct, tampering with a crime scene, interfering in an investigation of a police shooting and retaliating against fellow officers who cooperated with outside investigators.""'}]"
303,"[{'summary_text': 'Days after Arbery was fatally shot, the chief of police – who had been brought in to clean up a police force described by the county manager in 2019 as poorly trained and characterized by a ""culture of cronyism"" – was indicted on charges arising from an alleged cover-up of a sexual relationship between an officer and an informant. Travis and Greg McMichael are sentenced to life without the possibility of parole, while William Bryan is sentenced to'}]"
304,"[{'summary_text': 'Both the McMichaels and Bryan face mandatory sentences of life imprisonment. Although the legislation initially stalled in the General Assembly, after the legislature returned following the COVID-19 recess, the House passed the legislation 152–3. The Senate then passed the Legislation as Senate Bill 509, which Governor Kemp signed. The legislation allowed a November 3, 2020 binding referendum such that the police department would be abolished if a majority of Glynn County voters agreed. Nevertheless, the referendum was ruled unconstitutional by a superior court judge on September 11, 2020, so it did not appear on the November'}]"
305,"[{'summary_text': 'A 2015 investigation by WSB-TV revealed that Johnson had agreed to withhold a draft murder indictment from the grand jury and had ""allowed the officers\\\' department to present a factually inaccurate animation they created showing the car escaping through a gap and running over the officers."" Previous versions of the legislation had passed the state House but failed to pass the state Senate. Arbery\'s murder was a catalyst for passage of the bill; at the time Georgia was one of just four states without any hate-crimes legislation, as Georgia Supreme Court struck down a previous hate crimes law in 2004.'}]"
306,"[{'summary_text': 'The three defendants convicted in the murder of Ahmaud Arbery are sentenced to life in prison. Travis and Greg McMichael are sentenced ""without the possibility of parole"" while William Bryan is sentenced to ""with the possibility"" of parole.    ""William Bryan"" is the third defendant to be convicted of the murder.'}]"
307,"[{'summary_text': 'Jury selection for the hate crime trial in federal court will begin on February 7, 2022. Georgia\'s citizen\'s arrest law had been textually very broad in scope, dating back to the Civil War era. [ADD] <Aftermath - Federal review of case> -- The three defendants convicted in the murder of Ahmaud Arbery are sentenced to life in prison. Travis and Greg McMichael are sentenced ""without the possibility of parole"" while William Bryan is sentenced to ""with the possibility""'}]"
308,"[{'summary_text': ""The bill to repeal the citizen's arrest law passed the legislature and was signed by Governor Kemp on May 10, 2021. In On March 4, 2021 the proposed changes were passed out of legislative committee in the Georgia House of Representatives by a unanimous vote. The bill – House Bill 479 – received widespread and bipartisan support.""}]"
309,[{'summary_text': 'The three defendants convicted in the murder of Ahmaud Arbery are sentenced to life in prison. On He also said he had no direct evidence Arbery had stolen anything in the neighborhood. [RM] <Initial reactions - Involved parties and their families>'}]
310,"[{'summary_text': 'A lawyer for William Bryan Jr., the man who recorded the shooting using cell phone video, said his client had done nothing wrong, had fully cooperated in the investigation, and ""is not now, and never has been, a \\\'vigilante\\\'."" [ADD] <Aftermath - Reporting on prior allegations of misconduct by local authorities> The attorney also described Bryan as ""a mechanic with a high-school education"" who was simply a witness to the shooting. They said that because Bryan had participated in chasing Arbery and had ""corralled"" him, Bryan participated in the murder'}]"
311,"[{'summary_text': 'Arbery\'s murder prompted re-examinations of the way prosecutions of shootings were handled by the Brunswick Judicial Circuit District Attorney\'s Office. The local Brunswick NAACP chapter also called for the resignation of the Glynn County police chief. The Southern Poverty Law Center called for a federal investigation into the incident, citing their belief Arbery\'s ""murder was racially motivated""'}]"
312,"[{'summary_text': 'Many clergy and celebrities have voiced support for review of the case, and concern about the violence. Russell D. Moore, head of the Southern Baptist Convention\'s Ethics and Religious Liberty Commission, said, ""under any Christian vision of justice, there is no situation in which the mob murder of a person can be morally right, nor grounds for a person to be chased down and shot by private citizens."" LeBron James expressed outrage on Twitter, and offered ""prayers and blessings"".'}]"
313,"[{'summary_text': 'On social media, far-right and neo-Nazi groups spread falsehoods about Arbery; their white-nationalist supporters attacked President Trump for his sympathetic comments regarding Arbery. [ADD] <Initial reactions - Involved parties and their families> -- The three defendants convicted in the murder of Ahmaud Arbery are sentenced to life in prison. Travis and Greg McMichael are sentenced ""to life without the possibility of parole, while William Bryan is sentenced to'}]"
314,"[{'summary_text': 'On According to an analyst from the Middle East Media Research Institute, such groups claimed Arbery was wielding a hammer and wearing Timberland boots when he was shot dead; Arbery ""was wearing running shoes"". They also spread racist remarks about Arbery, and claimed that the McMichaels were victims. Far-right groups said the McMichael\\\' arrests reflected a bias against whites. Crump added, ""While today is not one for celebration, it is one for reflection.""'}]"
315,"[{'summary_text': 'On 9 December, Russia accused Ukraine of moving heavy artillery towards the front line where separatists are fighting with Ukrainian forces. Chief of the Russian General Staff, Valery Gerasimov, stated that [NATO\'s] ""Deliveries of helicopters, unmanned aerial vehicles and aeroplanes to Ukraine are pushing the Ukrainian authorities to take sharp and dangerous steps. Any provocations of the Ukrainian Authorities by way of a forced settlement of the problems of Donbass will be suppressed."" On 31 December 2021, after a phone call between US President Biden and Russian president Putin, Putin declared that if the US sanctioned them it would be ""a fatal'}]"
316,"[{'summary_text': 'Talks between NATO and Russia over Ukraine hit a breaking point as Poland warns of possible war.    ""NATO-Russia talks over Ukraine are at their lowest ebb,"" a NATO official says. ""The talks are at a low ebb, but they are not at the end of the road,"" he adds.'}]"
317,"[{'summary_text': 'The Swedish contribution to Task Force Takuba arrived in Mali during February 2021. The task force will be used to support other countries that are involved in the Malian conflict. The mission was originally expected to end in 2016, but was extended until 2017. The deployment of the task force is expected to last until the end of the year.'}]"
318,"[{'summary_text': 'Public opinion in Australia of an unvaccinated athlete being permitted entry while many Australians remain stranded overseas due to the pandemic, in order to participate in an event that spectators cannot attend unless fully vaccinated, has been overwhelmingly negative. [ADD] <COVID-19 vaccination and visa controversies> -- The Minister for Immigration and Citizenship, Alex Hawke, invokes his ministerial powers under the Migration Act 1958 to cancel Novak Djokovic\'s visa on ""health and good order grounds"".    ""The Australian Open"" was held in Melbourne, Australia, on November 19, 2013.'}]"
319,"[{'summary_text': 'On January 15, 2022, an armed gunman took multiple people hostage at Congregation Beth Israel, a Jewish synagogue in Colleyville, Texas, United States. After more than 12 hours, the four hostages were freed. The attacker was later shot and killed by police.'}]"
320,"[{'summary_text': 'An armed man claiming to be the brother of Pakistani Al-Qaeda suspect Aafia Siddiqui holds congregants hostage at Congregation Beth Israel Synagogue in Colleyville, Texas, United States. He is later shot and killed by police. The assailant had Rabbi Cytron-Walker call a New York City–based rabbi to pass along his demand that Aafia'}]"
321,"[{'summary_text': 'Little information is yet available on the extent of damage and casualties from Tonga due to communication issues. Video footage showing waves hitting coastal areas in Tonga was reported by Sky News. Atata, a small island off the capital city was reportedly submerged and rescue operations are being carried out.'}]"
322,"[{'summary_text': 'The tsunami claimed the lives of two women in Peru when a 2-meter wave struck them at Naylamp beach, Lambayeque. The two women were in a truck along with a driver; the husband of one of the woman. When the wave struck, the male occupant escaped. The bodies of the female victims were taken to a morgue. According to a resident in the Tongan capital, a series of initial smaller explosions were heard. It was followed by a tsunami approximately 15 minutes later. The first wave was said to be the largest. A long white wave was observed out at sea approaching the coast.'}]"
323,"[{'summary_text': 'The FBI believes that Akram acted alone, and Matthew DeSarno, the special agent in charge of the FBI\'s Dallas field office, said there was no indication that the man was part of any broader plan.  He also said the investigation into the incident will have ""global"" reach, and he confirmed that the FBI Shooting Incident Review Team ""will conduct a thorough, factual, and objective investigation of the events."" A day after the incident, President Joe Biden said Akram was armed with guns, but his claim of being armed with a bomb was not true. Akram\'s motive for the hostage-taking was his anger over the U.S. imprisonment of Aafia'}]"
324,"[{'summary_text': ""On January 20, two men were arrested in Manchester and Birmingham, West Midlands, as part of an investigation into the Colleyville incident. The day after the incident, Akram's two teenage sons were apprehended in south Manchester, North West England, by officers from Counter Terror Policing North West.""}]"
325,"[{'summary_text': 'SDF forces also announced that they had managed to track down and arrest 89 of the prisoners that had escaped the prison. It was also reported that the electricity to several parts of Al-Hasakah city had been cut off due to the clashes. During the clashes, it was reported that U.S fighter jets had conducted 2 airstrikes on Islamic State held buildings in the city.'}]"
326,"[{'summary_text': 'Singapore started the rolling out of booster shots for senior citizens above 60 years of age from 14 September 2021. Subsequently, from 4 October, it will start giving booster shots to the eligible population above 50 years. The eligible population should have their second dose taken before 6 months. From 24 November, eligible population who completed second dose before 5 months can get booster shots. On 10 December, the use'}]"
327,"[{'summary_text': 'After the hostages fled the building, the FBI Hostage Rescue Team was seen surrounding another part of the synagogue. At around 9:21 p.m., the FBIHostage Rescue used a stun grenade to attempt to disorient Akram. [RM] Electricity was cut to the synagogue, and agents breached the building. Within seconds, Akram was fatally shot by FBI agents.'}]"
328,"[{'summary_text': 'On 8 January 2022 Romania reintroduces mandatory face mask wearing in outdoor and indoor public spaces, reduces the operating hours and capacity of bars, restaurants, cinemas, gyms, and sporting events, and also reduces the quarantine period, amid concern that the next wave of COVID-19 could overwhelm the health system. [ADD] On 21 January Romania reports a record 19,649 new cases of CO VID-19 and the next day has exceeded 2 million COVID'}]"
329,"[{'summary_text': 'Romania surpasses two million cases of COVID-19. nan -- Romania surpasses 2,000,000 cases of the drug COVID.    ""CVID"" is the Romanian version of ""Covid"" -- a drug that is used to treat people with cancer.'}]"
330,"[{'summary_text': 'Gohram Baloch, the spokesperson of the banned Balochistan Liberation Front (BLF) has claimed responsibility for the attack.  The army says that it has killed one of the attackers and arrested three others in a clearance operation.   The separatist Baluch Liberation Front claims responsibility.'}]"
331,"[{'summary_text': 'In the morning of 29 January, the seventh ballot was inconclusive, as Lega and FI abstained, the centre-left voted blank, and FdI supported Nordio. Mattarella was again the most voted candidate with 387 votes, followed by Nordio with 64, and Di Matteo with 40. During the 7th ballot, after the fall of all other possible candidacies, the re-election of incumbent president Mattarella became a serious alternative. Letta, who had already proposed his re- election a few weeks before, asked the other leaders to follow ""the Parliament\'s wisdom"", referring to'}]"
332,"[{'summary_text': ""In the eight ballot, on January 29's evening, Sergio Mattarella was re-elected president of Italy with 759 votes, becoming the most-voted president after Sandro Pertini in 1978. The election was held in the Palazzo Montecitorio, home of the Chamber of Deputies, with the capacity of the assembly room expanded for the purpose. As there is no official candidacy process, representatives were free to vote for any person who""}]"
333,"[{'summary_text': 'Sergio Mattarella is elected for a second term as President on the eighth ballot. After seven inconclusive ballots, Sergio Mattarella was re-elected on the ninth and final ballot. ""I am the President of the Republic of Italy,"" Mattarella said.'}]"
334,"[{'summary_text': 'On 28 January, it was reported that the Metropolitan Police had asked Gray to ""keep key details out of her report"", of events that they were investigating, to avoid any prejudice to their investigation. As a result, there was uncertainty over when, or even whether, Gray\'s report would be published. [ADD] <Investigations - Cabinet Office inquiry>'}]"
335,"[{'summary_text': 'A coup d\\\'état was attempted in Guinea-Bissau on 1 February 2022. [RM] At least one person is said to have been killed.  President Umaro Sissoco Embalo said that ""many"" members of the security forces had been killed in a ""failed attack against democracy."" The Portugal’s foreign affairs minister, Augusto Santos Silva, said that the president of Guinea'}]"
336,"[{'summary_text': 'Guinea-Bissau\'s President Umaro Sissoco Embalo says that ""many"" members of the security forces have been killed in a ""failed attack against democracy"" as both the African Union and ECOWAS condemn the attempted coup.   '}]"
337,"[{'summary_text': 'On 2 February 2022, over 60 civilians were killed in a massacre in Djugu territory, Ituri Province, Democratic Republic of the Congo. [RM] <Summary> -- Over 60 people are killed by CODECO militiamen during a mass stabbing at a camp for internally displaced people'}]"
338,"[{'summary_text': 'During the early hours of 2 February 2022, CODECO insurgents carried out a massacre of over 60 residents of Plaine Savo. It is a camp for internally displaced people in Ituri Province in the northeast of the Democratic Republic of the Congo in which around 4,000 people live.'}]"
339,"[{'summary_text': 'The Washington Commanders will replace the Washington Redskins name, considered a racial slur, which was retired in mid-2020 following the nationwide George Floyd protests. The new name will be announced on February 2, 2022 (2/2/22) the final eight candidates being Armada, Presidents, Brigade, Red Hogs, Commanders, RedWolves, Defenders and the current ""Football Team"". <Name change>'}]"
340,"[{'summary_text': 'In 1933, the football team that shared both the name and playing field with the Boston Braves baseball team moved to Fenway Park, already home to the Boston Red Sox. Co-owner George Preston Marshall changed the name to the Redskins, more likely to avoid confusion while retaining the Native American imagery of the team than to honor coach William Henry ""Lone Star"" Dietz, whose identity as a Native American was debated.'}]"
341,"[{'summary_text': ""The Washington Commanders were selected on February 2, 2022. Amanda Blackhorse responded that the change is an empty gesture, the team's owner having made no substantial effort to repair the effects the decades of insults, nor advocated that other teams with offensive mascots also change. A redesigned logo introduced in 1972 was proposed by Walter Wetzel, a former Blackfeet tribal chairman and past president of the National Congress of American Indians, and was modeled after the likeness on the Buffalo nickel. Members of the Blackfeet tribe express a range of opinions, from support to indifference to strong opposition to the Redskins name based upon their personal experiences.""}]"
342,"[{'summary_text': 'In July 2020, amidst the removal of many names and images as part of the George Floyd protests, a group of investors worth $620 billion wrote letters to major sponsors Nike, FedEx and PepsiCo encouraging pressure on the Redskins to change their name. FedEx called on the team to change its name on July 2, 2020. The same day, Nike removed Redskins apparel from its website. On July 3, the league and the franchise announced that it was ""undergoing a thorough review of the team name."" On July 7, it was acknowledged that the Redskins were not'}]"
343,"[{'summary_text': 'Iceland is one of a handful of countries that formally object[clarification needed] to an ongoing moratorium established by the International Whaling Commission in 1986, and that still maintain a whaling fleet. One company remains concentrated on hunting fin whales, largely for export to Japan, while the only other one previously hunted minke whales for domestic consumption until 2020, as the meat was popular with tourists. In 2018, Icelandic whalers were accused of slaughtering a blue whale. Whaling has been temporarily paused in Iceland since 2019 as coronavirus restrictions, competition from subsidized Japanese whaling, and increasing domestic whale watching tourism have hampered the industry. It is uncertain if commercial whaling'}]"
344,"[{'summary_text': '24 December 2021 - A clash took place between Taliban forces and the Frontier Corps at several points along the Afghanistan-Pakistan border. According to Afghan villagers and tribal elders, Pakistani forces started shelling parts of Kunar province in response to firing by militants associated with Tehrik-i-Taliban Pakistan (TTP) on Pakistani soldiers deployed along the border. Soon after, the Afghan Taliban also started firing artillery targeting areas on Pakistan side of the border from Sarkano and Dangam districts of Kun'}]"
345,"[{'summary_text': 'On 27 January, France confirmed that from 15 to 23 January 2022, more than sixty recorded jihadists had been ""neutralized"" in four separate incidents by Burkinabé soldiers working together with French units. [ADD] <Timeline - 2022> -- Four civilians are killed during a battle between French troops and Ansar ul Islam in Burkina Faso. Ten militants are killed in the clash, which involved support from an attack helicopter.'}]"
346,"[{'summary_text': 'Ten member of Ansarul Islam died during a battle with French forces on February 10 near Ouahigouya. Four civilians died in the crossfire. French authorities expressed regret for the civilian casualties, which they assured was accidental. In October 2019, 14 men had their turbans ripped off by government forces, then forced into a truck and executed. Fulanis have also been subject to violence by pro-government civilians, such as during the 2019 Yirgou massacre, in which hundreds of civilians were murdered by ethnic Mossis.'}]"
347,"[{'summary_text': ""On January 31, 2022, The UAE military said Monday that Iran-backed Houthi rebels in Yemen fired a ballistic missile at Abu Dhabi just hours after Israel's president began a historic visit to the Persian Gulf country. The foiled strike was the third this month targeting Abu Dhabi, the Emirati capital.""}]"
348,"[{'summary_text': 'Ten members of Ansarul Islam died during a battle with French forces on February 10 near Ouahigouya in return for the killing of five officers in the previous year. Four civilians died in the crossfire. French authorities expressed regret for the civilian casualties, which they assured was accidental.'}]"
349,"[{'summary_text': 'On February 12, French forces retaliated by launching a major airstrike on an Islamist camp in Burkina Faso, killing forty rebels. February 8-9, insurgents attacked the W National Park in Benin, killing nine people. In October 2019, 14 men had their turbans ripped off by government forces, then forced into a truck and executed. Fulanis have also been subject to violence by pro-government civilians, such as during the 2019 Yirgou massacre, in which hundreds of civilians were murdered by ethnic Mossis.'}]"
350,"[{'summary_text': 'On 5 February 2021, from two to five thousand people in Kharkiv marched through the city with banners stating ""Kharkiv is Ukraine"" and ""stop Russian aggression"". Participants stated that there was anger at the prospect of a Russian invasion, rather than panic as in 2014 when the War in Donbas started. Interviewees judged that the Ukrainian army and citizens would ""suffer[ing] intolerable losses"", and that Kharkhiv residents ""[k'}]"
351,"[{'summary_text': 'In January 2022, the Prime Minister of Canada, Justin Trudeau stated that Canada would provide Ukraine with a CDN$120 million loan, but will not transfer military equipment. They chanted ""Glory to Ukraine"" and carried Ukrainian flags and banners stating ""Ukrainians will resist"" and ""Invaders must die"".'}]"
352,"[{'summary_text': 'On 10 February, six Russian warships capable of landing tanks and troops ashore, assigned to Russia\'s Baltic and Northern Fleets, arrived at the Sevastopol Naval Base in Crimea. On the same day, Russia announced naval exercises to be held in the Black Sea. Meanwhile, Ukraine ""strongly protested"" against ""the decision of the Russian Federation"" to block parts of ""the Black Sea and the Sea of Azov and the Kerch Strait under the pretext of holding regular naval exercises"". [ADD]'}]"
353,"[{'summary_text': 'On 11 February, US intelligence made an assessment that the Russian invasion could be imminent and predicted that it might begin before the end of the 2022 Winter Olympics on 20 February. As a result, US ordered evacuation of most its diplomatic staff and all military instructors in Ukraine. US, UK, Japan and many EU countries also urged their citizens to leave Ukraine immediately. Next day, Dutch KLM suspended its flights to Ukraine, while other airlines reduced their exposure to the country. It was later suspected that Russian hackers might be responsible in the incident.'}]"
354,"[{'summary_text': 'British and Canadian military training programs were bolstered in January 2022. The British deployed additional military trainers and provided light anti-armor defense systems, while the Canadians deployed a small special forces delegation to aid Ukraine. On 17 January, British Defence Secretary Ben Wallace announced that Britain had supplied Ukraine with 1,100 short-range anti-tank missiles. On 20 January, Sky News reported that 2,000 short- range anti- tank MBT LAW missiles had been delivered via numerous Royal Air Force C-17 transport aircraft between the UK and Ukraine. 16 January, the Danish government decided to provide a €22 million (US$24.8 million) defense package for Ukraine.'}]"
355,"[{'summary_text': 'Ukraine has intensified diplomatic efforts. On 15 November, Zelensky and the head of the European Council (EUCO) Charles Michel discussed ""the security situation along the borders of Ukraine."" On the same day, Kuleba held talks on the same issues in Brussels. The new Ukrainian defense minister, Oleksii Reznikov, went to Washington D.C., where on 18 November he met with US secretary of defense Lloyd Austin. On 16 November, British defence secretary Ben Wallace visited Kyiv.'}]"
356,"[{'summary_text': 'In late January, the United States was again discussing sanctions with European allies in case of a Russian invasion. [ADD] <Renewed tensions (October 2021–present)> -- The United States orders the evacuation of its embassy staff in Kyiv.   '}]"
357,"[{'summary_text': 'The United States orders the evacuation of its embassy staff in Kyiv.    ""The U.S. Embassy in Ukraine has been evacuated,"" the embassy said in a statement. ""The evacuation of the embassy staff is a precautionary measure,"" the statement said.'}]"
358,"[{'summary_text': 'On February 13, 2022, the Canadian Armed Forces announced that the operation would be temporarily suspended due to the 2021–2022 Russo-Ukrainian crisis, with most of the units involved being sent to Poland. [ADD] Canada has assured Ukraine that the withdrawal is only temporary.'}]"
359,"[{'summary_text': 'On February 13 afternoon, Mayor Watson\'s Office said that they had reached an agreement with protesters limiting the protest perimeter to ""Wellington Street, between Elgin Street and the Sir John A. Macdonald Parkway"" to ""reduce pressure on residents and businesses"". Truckers will leave residential neighbourhoods. The government of Canada invokes the Emergencies Act for the first time since the law was passed in 1988.'}]"
360,"[{'summary_text': ""On February 14, 2015, the government of Canada invoked the Emergencies Act for the first time since the law was passed in 1988, thereby giving the federal government temporary powers to deal with ongoing blockades associated with the protests.   The act replaced the former War Measures Act, which was famously invoked by Trudeau's father, former Prime Minister Pierre""}]"
361,"[{'summary_text': 'The government of Canada invokes the Emergencies Act for the first time since the law was passed in 1988, thereby giving the federal government temporary powers to deal with ongoing blockades associated with the protests.    ""The government"" invokes ""emergency powers"" for the ""first time"" since 1988.'}]"
362,"[{'summary_text': ""The European Court of Justice dismisses Poland and Hungary's challenges against the regulation and confirms that the regulation is in compliance with the treaties of the European Union. This will allow the European Commission to suspend funds from the EU budget to member states that have rule of law issues which are likely to affect the management of EU funds. The European Parliament adopted another resolution, calling on the Commission to fulfil its obligations under the Rule of Law Conditionality Regulation within two weeks, and notifying the Commission that it would start preparations for legal action against the Commission for failure to act (article 265 TFEU). The European Commission rejected the ultimatum on 23 August 2021 with a five-page letter.""}]"
363,"[{'summary_text': 'On 11 March 2021, Hungary and Poland separately launched legal proceedings with the Court of Justice of the European Union against the European Parliament and the Council for adopting the regulation, asking the court to annul the regulation as, according to ""Hungary and Poland, the regulation does not have an appropriate legal basis"". The advocate general advised the Court to dismiss those challenges on 2 December 2021. The European Court of'}]"
